question_id,channel,feature,source_file,model,prompt_version,judge_prompt_version,status,hypothesis,bleu_4,rouge_1,rouge_2,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,overall,reasoning,grounding_compliance_pass,medication_safety_pass,prompt_tokens,completion_tokens,latency_ms,error_stage,error_type,error_message
ussd-01,USSD,insurance_verification,knowledge/insurance_verification_policy.txt,openai/gpt-4o-mini,spec-7.1-v2,spec-7.1-judge-v1,success,Verification is complete only when an active AfyaPlus member ID and either the phone number or email address on file both match. [Source: knowledge/insurance_verification_policy.txt],0.8364,0.88,0.875,0.88,0.9167,5,5,5,5,5.0,"The assistant's response accurately reflects the information provided in the trusted reference regarding the verification process, ensuring that both the member ID and either the phone number or email address must match for verification to be complete.",True,True,396,37,2741.29,,,
ussd-01,USSD,insurance_verification,knowledge/insurance_verification_policy.txt,openai/gpt-4o,spec-7.1-v2,spec-7.1-judge-v1,success,Verification is complete only when an active AfyaPlus member ID and either the phone number or email address on file both match [Source: knowledge/insurance_verification_policy.txt].,0.8364,0.88,0.875,0.88,0.9167,5,5,5,5,5.0,"The assistant's response accurately reflects the information provided in the trusted reference regarding the verification process, ensuring that both the member ID and either the phone number or email address must match for verification to be complete.",True,True,396,35,1701.31,,,
ussd-02,USSD,clinical_routing,knowledge/clinical_routing_guidelines.txt,openai/gpt-4o-mini,spec-7.1-v2,spec-7.1-judge-v1,success,Chest pain with shortness of breath must be routed immediately to the Emergency Medical Call Team [Source: knowledge/clinical_routing_guidelines.txt].,0.7829,0.8421,0.8333,0.8421,0.8889,5,5,5,5,5.0,"The assistant's response is accurate and directly aligns with the trusted reference, providing clear and relevant routing instructions for a medical emergency.",True,True,377,30,1700.57,,,
ussd-02,USSD,clinical_routing,knowledge/clinical_routing_guidelines.txt,openai/gpt-4o,spec-7.1-v2,spec-7.1-judge-v1,success,Chest pain with shortness of breath must be routed immediately to the Emergency Medical Call Team [Source: knowledge/clinical_routing_guidelines.txt].,0.7829,0.8421,0.8333,0.8421,0.8889,5,5,5,5,5.0,"The assistant's response is accurate and directly aligns with the trusted reference, providing clear and relevant routing instructions for a medical emergency.",True,True,377,29,1458.37,,,
ussd-03,USSD,medication_safety,knowledge/medication_dosage_reference.txt,openai/gpt-4o-mini,spec-7.1-v2,spec-7.1-judge-v1,success,AfyaPlus must not choose or recommend a medication dose. Dose selection requires a qualified clinician using patient-specific factors and accepted clinical references [Source: knowledge/medication_dosage_reference.txt].,0.8428,0.8846,0.88,0.8846,0.92,5,5,5,5,5.0,"The assistant correctly states that AfyaPlus should not choose or recommend a medication dose, aligning with the trusted reference that emphasizes the need for a qualified clinician to make such decisions.",True,True,390,40,2288.68,,,
ussd-03,USSD,medication_safety,knowledge/medication_dosage_reference.txt,openai/gpt-4o,spec-7.1-v2,spec-7.1-judge-v1,success,AfyaPlus must not choose or recommend a medication dose. Dose selection requires a qualified clinician using patient-specific factors and accepted clinical references [knowledge/medication_dosage_reference.txt].,0.8773,0.902,0.898,0.902,0.9388,5,5,5,5,5.0,"The assistant correctly states that AfyaPlus should not choose or recommend a medication dose, aligning with the trusted reference that emphasizes the need for a qualified clinician to make such decisions based on patient-specific factors.",True,True,390,38,1239.39,,,
ussd-04,USSD,insurance_verification,knowledge/insurance_verification_policy.txt,openai/gpt-4o-mini,spec-7.1-v2,spec-7.1-judge-v1,success,"Emergency care does not have a waiting period, and emergency admissions or imaging do not require advance pre-authorization [Source: knowledge/insurance_verification_policy.txt].",0.4779,0.6977,0.5854,0.6047,0.6829,5,5,5,5,5.0,"The assistant's response accurately reflects the information provided in the trusted reference, confirming that emergency care does not have a waiting period and does not require pre-authorization. The response is directly relevant to the question asked and is fully supported by the reference.",True,True,380,32,1533.56,,,
ussd-04,USSD,insurance_verification,knowledge/insurance_verification_policy.txt,openai/gpt-4o,spec-7.1-v2,spec-7.1-judge-v1,success,"Emergency care does not have a waiting period, and emergency admissions or imaging do not require advance pre-authorization [Source: knowledge/insurance_verification_policy.txt].",0.4779,0.6977,0.5854,0.6047,0.6829,5,5,5,5,5.0,"The assistant's response accurately reflects the information provided in the trusted reference, confirming that emergency care does not have a waiting period and does not require pre-authorization. The response is clear, relevant, and fully supported by the reference.",True,True,380,33,1883.15,,,
ussd-05,USSD,clinical_routing,knowledge/clinical_routing_guidelines.txt,openai/gpt-4o-mini,spec-7.1-v2,spec-7.1-judge-v1,success,A child with fever plus lethargy or inability to drink must be routed to the Emergency Medical Call Team [Source: knowledge/clinical_routing_guidelines.txt].,0.8134,0.8636,0.8571,0.8636,0.9048,5,5,5,5,5.0,"The assistant's response accurately reflects the information provided in the trusted reference, correctly identifying the need to route the case to the Emergency Medical Call Team based on the symptoms described.",True,True,388,33,1743.58,,,
ussd-05,USSD,clinical_routing,knowledge/clinical_routing_guidelines.txt,openai/gpt-4o,spec-7.1-v2,spec-7.1-judge-v1,success,The case must be routed to the Emergency Medical Call Team [Source: knowledge/clinical_routing_guidelines.txt].,0.4222,0.5,0.4706,0.5,0.5294,5,5,5,5,5.0,"The assistant's response accurately reflects the guidance from the trusted reference, correctly identifying the need to route the case to the Emergency Medical Call Team based on the symptoms presented.",True,True,388,23,1693.12,,,
